id,emri,lloji_trashegimise,kategoria,periudha,periudha_detaj,komuna,rajon,lat,lon,easting_kosovaref01,northing_kosovaref01,sistemi_projeksion,koordinata_burimi,saktesia_koordinates,gjendja,status_mbrojtjes,pershkrim_i_shkurter,burimi,url_dtk,verifikuar,shenime
"ARK-038","Nekropolë mesjetare në Matiqan-Bregu i Ajetit","arkeologjike","vendbanim","mesjetar","Mesjetë e Hershme","Prishtinë","Kosovë","42.643947","21.197439","7516190.397","4722712.798","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Dikur fshati Matiqan, sot paralagje e Prishtinës, është i njohur në literaturën arkeologjike me rastin e evidentimit dhe dokumentimit të një nekropoli në pjesën e njohur si Matiqan i Poshtëm, i cili në bazë të kulturës m...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8954","po","klasa=Lokalitet Arkeologjik; heritageId=8954"
"ARK-039","Tjerrtorja-lokaliteti neolitik (Vendzbulimi i Hyjneshës në Fron)","arkeologjike","vendbanim","neolit","Neolit","Prishtinë","Kosovë","42.644025","21.140733","7511540.375","4722712.165","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti neolitik i njohur me emrin Tjerrtorja është zbuluar rastësisht, me rastin e ndërtimit të fabrikës së përpunimit dhe të produkteve tekstile TJERRTORJA, gjatë viteve ’50, andaj dhe është emërtuar me këtë emërtim...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8782","po","klasa=Lokalitet Arkeologjik; heritageId=8782"
"ARK-040","Lokalitet Arkeologjik shumështresor në Vlashnje","arkeologjike","vendbanim","neolit","Neolit","Prizren","Kosovë","42.196086","20.653269","7471364.282","4673008.025","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti arkeologjik, përkatësisht vendbanimi shumështresor i Vlashnjes gjendet në sipërfaqen e sheshtë të një tarrace shkëmbore (335metra lartësi mbidetare) në krahun e djathtë të rrugës Prizren-Zhur, rreth 6 km në pe...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9296","po","klasa=Lokalitet Arkeologjik; heritageId=9296"
"ARK-041","Lokaliteti i periudhës së bronzit të Korishës","arkeologjike","vendbanim","bronz","Epoka e Bronzit","Prizren","Kosovë","42.250533","20.800108","7483505.563","4679016.412","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti i periudhës së bronzit të Korishës, ishte hulumtuar gjatë vitit 2006 dhe kishte karakter të gërmim-shpëtimit. Lokaliteti pozicionohet në faqen lindore të qafës në trajtë të shalës, fare pranë kalasë së Korishë...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9294","po","klasa=Lokalitet Arkeologjik; heritageId=9294"
"ARK-042","Lokaliteti Romak në Poslishtë: Villa Rustica; Statio; Mansio","arkeologjike","vendbanim","romak","Romake","Prizren","Kosovë","42.194511","20.666664","7472469.862","4672828.686","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Me rastin e ndërtimit të segmentit rrugor të autostradës Prizren-Vërmicë, gjatë vitit 2010, rreth një kilometër në jug të lokalitetit shumë shtresor të Vlashnjes, në anën e majtë të rrugës Prizren–Vermicë, gjegjësisht 15...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9459","po","klasa=Lokalitet Arkeologjik; heritageId=9459"
"ARK-043","Manastiri i Kryeëngjujve","arkeologjike","vendbanim","i panjohur","","Prizren","Kosovë","42.20075515","20.76341315","7480462.279","4673495.507","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Në grykën e Lumbardhit, 2.5 km në jug-lindje të Prizrenit, gjenden gërmadhat e Manastirit të Shën Arhangjelit (Kryeengjujve) të cilin e ndërtoi Stefan Dushan Nemanja më 1343, dhe gërmadhat e një fortese në majën e kodrës...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8858","po","klasa=Lokalitet Arkeologjik; heritageId=8858"
"ARK-044","Rrënojat e vendbanimit të fortifikuar të Zatriqit","arkeologjike","fortifikate_kalaje","hekur","Epoka e Hekurit","Rahovec","Kosovë","42.445792","20.635222","7469992.705","4700748.743","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Rrënojat e vendbanimit të ngritur e të fortifikuar që nga Periudha e Hekurit e me intensitet të madh banimi posaçërisht gjatë Antikitetit të vonë e Mesjetës së hershme të ‘Gradishtës’ së Zatriqit, ndodhen në majën e kodr...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8873","po","klasa=Lokalitet Arkeologjik; heritageId=8873"
"ARK-045","Terma - Banjo romake në Çifllak","arkeologjike","gjurme_rrnoje","romak","Romake","Rahovec","Kosovë","42.462522","20.519286","7460466.107","4702654.459","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti romak i Çifllakut ndodhet në afërsi të rrjedhjes së Drinit të Bardhë në krahun e majtë të saj. Hulumtimet e zhvilluara në pjesën e parë të mileniumit tonë identifikuan gjurmë të një kompleksi të termës gjegjës...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9285","po","klasa=Lokalitet Arkeologjik; heritageId=9285"
"ARK-046","Lokaliteti Parahistorik (Neolitik) i Runikut","arkeologjike","vendbanim","neolit","Neolit","Skënderaj","Kosovë","42.795133","20.691447","7474759.378","4739533.234","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti neolitik i Runikut ndodhet në komunën e Skenderajt, në fshatin Runik, e pozicionuar në pllajën e Drenicës, rreth 25 km në jugperëndim të Mitrovicës dhe rreth 10 km në veriperëndim të Skenderajt dhe gjendet në ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8800","po","klasa=Lokalitet Arkeologjik; heritageId=8800"
"ARK-047","Fortifikata/Kalaja “Hisari i Kastërcit”","arkeologjike","fortifikate_kalaje","neolit","Eneolit","Suharekë","Kosovë","42.413111","20.783806","7482206.258","4697077.023","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti arkeologjik i tipit fortifikatë në Kasterc, i pozicionuar rreth 12 kilometra në veriperëndim të Suharekës (Therandës) respektivisht i njohur edhe si Hisari i Kastercit, është dëshmuar të jetë një qendër arkeol...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9291","po","klasa=Lokalitet Arkeologjik; heritageId=9291"
"ARK-048","Lokaliteti neolitik i Reshtanit","arkeologjike","vendbanim","neolit","Neolit","Suharekë","Kosovë","42.35895","20.787164","7482467.573","4691060.676","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Reshtani është një vendbanim neolitik i pozicionuar në prapatokën e Suharekës (në aksin ku sot kalon autostrada Suharekë-Prizren). Ky lokalitet është hulumtuar në vitet 1966/67, gërmime të cilat kishin karakter sondazhi....","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9448","po","klasa=Lokalitet Arkeologjik; heritageId=9448"
"ARK-049","Lokaliteti shumë shtresor në Hisarë","arkeologjike","fortifikate_kalaje","neolit","Neolit","Suharekë","Kosovë","42.351094","20.816822","7484908.781","4690182.428","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Lokaliteti arkeologjik, gjegjësisht, vendbanimi prehistorik i Hisarit ndodhet në anën jugperëndimore të Suharekës, e vendosur në një plato (tarracë) që dominon mbi rrafshin në anën veriore dhe e pozicionuar midis Suharek...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8852","po","klasa=Lokalitet Arkeologjik; heritageId=8852"
"ARK-050","Tuma ilire  e Gjinocit (kodërvarr ilir)","arkeologjike","nekropoli","hekur","Epoka e Hekurit","Suharekë","Kosovë","42.326053","20.807156","7484106.137","4687402.914","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Tuma e Gjinocit (kodërvarr ilir), është një rast i rrallë në Kosovë i një tume me përmasa gjigante me diametër 84 metra në drejtimin lindje-perëndim dhe 73 metra në orientimin veri-jug. Tuma ka një lartësi prej gati dhje...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9292","po","klasa=Lokalitet Arkeologjik; heritageId=9292"
"ARK-051","Varreza me grup të tumave e Shirokës","arkeologjike","nekropoli","hekur","Epoka e Hekurit","Suharekë","Kosovë","42.347675","20.816433","7484875.913","4689802.752","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Varreza me grup të tumave e Shirokës, pozicionohet në fshatin me të njëjtin emër, rreth 1,5 km në jug të Suharekës (Therandës), në krahun e djathtë të rrugës magjistrale. Është nekropol i grupit kulturor Dardan të tipit ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9456","po","klasa=Lokalitet Arkeologjik; heritageId=9456"
"ARK-052","Lokaliteti Arkeologjik Romak në Vërban (Viti-Kllokot)","arkeologjike","vendbanim","romak","Romake","Viti","Kosovë","42.379006","21.377289","7531069.420","4693335.293","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Gjurmët e lokalitetit të evidentuara të Vërbanit, pozicionuar fare pranë Banjës së Kllokotit, e të ngritur mbi një tarracë aluviale përgjatë brigjeve të lumit Moravë, në një areal me tokë shumë pjellore dhe në afërsi të ...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9460","po","klasa=Lokalitet Arkeologjik; heritageId=9460"
"ARK-053","Gjurmët e vilës romake në Pestovë","arkeologjike","vendbanim","romak","Romake","Vushtrri","Kosovë","42.782286","21.000694","7500056.783","4738060.048","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Fshati Pestovë gjendet në komunën e Vushtrrisë dhe shtrihet buzë magjistrales Prishtinë - Mitrovicë, në anën e majtë të kësaj rruge, rreth 4 km pa arritur në qytezën e Vushtrrisë, në një zonë mjaft të begatshme bujqësore...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9458","po","klasa=Lokalitet Arkeologjik; heritageId=9458"
"ARK-054","Kalaja e Dubocit","arkeologjike","fortifikate_kalaje","hekur","Epoka e Hekurit","Vushtrri","Kosovë","42.776778","20.896197","7491506.076","4737453.460","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Në aspektin arkeologjik, kalaja e Dubocit, e pozicionuar mbi kodrën e Çeçanit, pjesë e vargmalit të Çiçavicës jo larg Vushtrrisë, më së miri e tregon dëshminë më të vjetër të fortifikimit të periudhës së antikitetit të v...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=8956","po","klasa=Lokalitet Arkeologjik; heritageId=8956"
"ARK-055","Kalaja e Strocit","arkeologjike","fortifikate_kalaje","hekur","Epoka e Hekurit","Vushtrri","Kosovë","42.708436","20.987744","7498996.022","4729857.109","EPSG:9141 (KOSOVAREF01 / Balkans zone 7)","DTK","e mirë","e mirë","e pa përcaktuar","Në fshatin Stroc gjendet kalaja e njohur me emërtimin Gradina, lokalitet ky arkeologjik me indikacione të shfrytëzimit që nga parahistoria, antika e vonë dhe mesjeta e hershme. Në shpatet e kodrës, vërehen mure të vendos...","DTK","https://dtk.rks-gov.net/Objekti?heritageId=9463","po","klasa=Lokalitet Arkeologjik; heritageId=9463"
